trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
191,False,"{'a': 0.1, 'e': 0.26973754150723117}",20,7,-6.716280725849625,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
192,False,"{'a': 0.1, 'e': 0.26609913901776877}",25,11,22.284671290185244,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.1, 'e': 0.26249143807620373}",25,0,-49.07142725359064,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
194,False,"{'a': 0.1, 'e': 0.2589145240934375}",35,0,-65.95919742545698,"{0: 31, 1: 1, 2: 0, 3: 1, 4: 2}",0
195,False,"{'a': 0.1, 'e': 0.25536847489827896}",20,8,7.055390096598359,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.1, 'e': 0.25185336081911863}",25,9,-25.08580289803433,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
197,False,"{'a': 0.1, 'e': 0.24836924476709438}",20,14,8.648665132613035,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.1, 'e': 0.2449161823206933}",25,18,-28.645931189476848,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
199,False,"{'a': 0.1, 'e': 0.24149422181173458}",30,19,-23.840511384564838,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
200,False,"{'a': 0.1, 'e': 0.23810340441267905}",20,13,12.722524972075929,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.1, 'e': 0.23474376422520957}",20,10,17.309718234508107,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.1, 'e': 0.23141532837002843}",25,0,0.3138772968855066,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
203,False,"{'a': 0.1, 'e': 0.2281181170778167}",30,17,21.271015379377076,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.1, 'e': 0.2248521437813016}",20,13,12.611920473543279,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.1, 'e': 0.22161741520837724}",30,20,14.74158926863321,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.1, 'e': 0.21841393147622554}",30,13,34.37688896964117,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.1, 'e': 0.21524168618638329}",20,0,29.625778710187788,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
208,False,"{'a': 0.1, 'e': 0.2121006665207023}",20,9,5.864082849790319,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
209,False,"{'a': 0.1, 'e': 0.20899085333814968}",25,10,-16.800900459543318,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
210,False,"{'a': 0.1, 'e': 0.20591222127239567}",25,0,29.5744215252043,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
211,False,"{'a': 0.1, 'e': 0.20286473883013692}",20,10,15.730814682177842,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.1, 'e': 0.19984836849010332}",20,11,-28.390679219552865,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
213,False,"{'a': 0.1, 'e': 0.1968630668026971}",30,10,-27.6031173347107,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
214,False,"{'a': 0.1, 'e': 0.19390878449021348}",25,20,8.749975431398449,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.1, 'e': 0.19098546654759202}",25,15,6.5489818900654715,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
216,False,"{'a': 0.1, 'e': 0.18809305234364923}",30,20,15.67820669311031,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.1, 'e': 0.18523147572274268}",20,1,14.35966378860482,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.1, 'e': 0.18240066510681782}",20,0,28.306765487978346,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
219,False,"{'a': 0.1, 'e': 0.17960054359778937}",20,16,6.347108298535064,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.1, 'e': 0.17683102908020917}",25,10,0.09866658417808871,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
